Costumer Key,FirstName,LastName,Full Name,Gender,Costumer City,DateFirstPurchase
11000,Jon,Yang,Jon Yang,Male,Rockhampton,19-01-2022
11001,Eugene,Huang,Eugene Huang,Male,Seaford,15-01-2022
11002,Ruben,Torres,Ruben Torres,Male,Hobart,07-01-2022
11003,Christy,Zhu,Christy Zhu,Female,North Ryde,29-12-2021
11004,Elizabeth,Johnson,Elizabeth Johnson,Female,Wollongong,23-01-2022
11005,Julio,Ruiz,Julio Ruiz,Male,East Brisbane,30-12-2021
11006,Janet,Alvarez,Janet Alvarez,Female,Matraville,24-01-2022
11007,Marco,Mehta,Marco Mehta,Male,Warrnambool,09-01-2022
11008,Rob,Verhoff,Rob Verhoff,Female,Bendigo,25-01-2022
11009,Shannon,Carlson,Shannon Carlson,Male,Hervey Bay,27-01-2022
11010,Jacquelyn,Suarez,Jacquelyn Suarez,Female,East Brisbane,14-01-2022
11011,Curtis,Lu,Curtis Lu,Male,East Brisbane,30-12-2021
11012,Lauren,Walker,Lauren Walker,Female,Bremerton,16-03-2024
11013,Ian,Jenkins,Ian Jenkins,Male,Lebanon,13-04-2024
11014,Sydney,Bennett,Sydney Bennett,Female,Redmond,23-03-2024
11015,Chloe,Young,Chloe Young,Female,Burbank,18-01-2024
11016,Wyatt,Hill,Wyatt Hill,Male,Imperial Beach,09-02-2024
11017,Shannon,Wang,Shannon Wang,Female,Sunbury,12-01-2022
11018,Clarence,Rai,Clarence Rai,Male,Bendigo,17-01-2022
11019,Luke,Lal,Luke Lal,Male,Langley,12-02-2024
11020,Jordan,King,Jordan King,Male,Metchosin,29-12-2023
11021,Destiny,Wilson,Destiny Wilson,Female,Beaverton,23-01-2024
11022,Ethan,Zhang,Ethan Zhang,Male,Bellingham,20-01-2024
11023,Seth,Edwards,Seth Edwards,Male,Bellflower,17-02-2024
11024,Russell,Xie,Russell Xie,Male,Concord,27-06-2024
11025,Alejandro,Beck,Alejandro Beck,Male,Hawthorne,06-01-2022
11026,Harold,Sai,Harold Sai,Male,Goulburn,23-01-2022
11027,Jessie,Zhao,Jessie Zhao,Male,Warrnambool,16-01-2022
11028,Jill,Jimenez,Jill Jimenez,Female,St. Leonards,26-01-2022
11029,Jimmy,Moreno,Jimmy Moreno,Male,Bendigo,19-01-2022
11030,Bethany,Yuan,Bethany Yuan,Female,Cloverdale,05-02-2022
11031,Theresa,Ramos,Theresa Ramos,Female,Matraville,01-02-2022
11032,Denise,Stone,Denise Stone,Female,Melbourne,18-02-2022
11033,Jaime,Nath,Jaime Nath,Male,Milsons Point,15-02-2022
11034,Ebony,Gonzalez,Ebony Gonzalez,Female,North Sydney,01-02-2022
11035,Wendy,Dominguez,Wendy Dominguez,Female,Cranbourne,06-02-2022
11036,Jennifer,Russell,Jennifer Russell,Female,National City,22-01-2024
11037,Chloe,Garcia,Chloe Garcia,Female,Cliffside,20-01-2024
11038,Diana,Hernandez,Diana Hernandez,Female,Lavender Bay,07-02-2022
11039,Marc,Martin,Marc Martin,Male,Wollongong,07-02-2022
11040,Jesse,Murphy,Jesse Murphy,Male,Tacoma,03-04-2024
11041,Amanda,Carter,Amanda Carter,Female,Glendale,14-01-2024
11042,Megan,Sanchez,Megan Sanchez,Female,Los Angeles,21-01-2024
11043,Nathan,Simmons,Nathan Simmons,Male,Glendale,08-05-2024
11044,Adam,Flores,Adam Flores,Male,Hervey Bay,28-02-2022
11045,Leonard,Nara,Leonard Nara,Male,Matraville,10-04-2024
11046,Christine,Yuan,Christine Yuan,Female,Lavender Bay,06-02-2022
11047,Jaclyn,Lu,Jaclyn Lu,Female,Geelong,03-02-2022
11048,Jeremy,Powell,Jeremy Powell,Male,Sunbury,10-02-2022
11049,Carol,Rai,Carol Rai,Female,Chula Vista,09-03-2024
11050,Alan,Zheng,Alan Zheng,Male,Hobart,20-02-2022
11051,Daniel,Johnson,Daniel Johnson,Male,Caloundra,29-12-2024
11052,Heidi,Lopez,Heidi Lopez,Female,Matraville,17-02-2022
11053,Ana,Price,Ana Price,Female,San Diego,17-01-2024
11054,Deanna,Munoz,Deanna Munoz,Female,Geelong,03-02-2022
11055,Gilbert,Raje,Gilbert Raje,Male,East Brisbane,31-01-2022
11056,Michele,Nath,Michele Nath,Female,Newcastle,26-02-2022
11057,Carl,Andersen,Carl Andersen,Male,Lane Cove,22-02-2022
11058,Marc,Diaz,Marc Diaz,Male,Findon,09-03-2022
11059,Ashlee,Andersen,Ashlee Andersen,Female,Townsville,18-02-2024
